id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
76996a60-ec79-4ded-b403-ca2ff16d10a8,Consumption_of_quaero_brat_annotator.py,Rule-based QUAERO FrenchMed annotation,,2026-06-15 11:17:02,4.385607004165649,1.3420313601223514e-06,9.06273777490624e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Île-de-France,0
4e50a2db-382c-443d-af11-c96d4d1e0be6,Consumption_of_quaero_brat_annotator.py,Rule-based QUAERO FrenchMed annotation,N/A,2026-06-15 11:18:31,4.238826036453247,1.389234186648409e-06,9.381498462436706e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Île-de-France,0
