entity,doc_id,F1_rules,F1_TBM
Activity,18258107,0.0,0.888888888888889
Activity,23897372,0.5714285714285715,0.0
Activity,24518095,0.0,0.0
Activity,26309459,0.0,0.0
Activity,26664317,0.0,0.4
Activity,26683938,0.0,0.0
Activity,27683825,0.4,0.3333333333333333
Activity,27846860,0.0,0.0
Activity,28120581,0.0,0.0
Activity,28151882,0.4,0.3333333333333333
Activity,28190872,0.0,0.0
Activity,28202869,0.0,1.0
Activity,28216610,0.5,0.28571428571428575
Activity,28250406,0.0,1.0
Activity,28296775,0.0,0.0
Activity,28321073,1.0,0.0
Activity,28353604,0.0,0.0
Administration,18258107,0.5,0.6666666666666666
Administration,18416479,0.8,1.0
Administration,19009665,0.0,0.8
Administration,21067996,0.5,0.6666666666666666
Administration,22515939,1.0,1.0
Administration,23312850,0.75,1.0
Administration,25210224,0.0,0.0
Administration,26309459,1.0,1.0
Administration,26444414,0.0,0.0
Administration,26474553,0.0,0.0
Administration,26664317,1.0,1.0
Administration,26675562,1.0,1.0
Administration,26683938,1.0,1.0
Administration,27846860,1.0,1.0
Administration,28120581,0.0,0.0
Administration,28190872,1.0,1.0
Administration,28202869,0.6666666666666666,1.0
Administration,28216610,0.0,0.0
Administration,28239141,1.0,1.0
Administration,28321073,0.0,0.0
Administration,28353556,0.6666666666666666,1.0
Administration,28353604,1.0,1.0
Administration,28422883,0.0,0.0
Age,15939911,1.0,1.0
Age,18258107,1.0,1.0
Age,18416479,1.0,1.0
Age,19009665,1.0,1.0
Age,19860007,1.0,1.0
Age,21067996,1.0,1.0
Age,21527041,1.0,1.0
Age,21672201,1.0,1.0
Age,22515939,1.0,1.0
Age,22665582,0.6666666666666666,0.6666666666666666
Age,22791498,1.0,1.0
Age,23312850,1.0,1.0
Age,23897372,1.0,1.0
Age,24518095,1.0,1.0
Age,24898994,0.0,0.0
Age,25210224,1.0,1.0
Age,25246819,0.6666666666666666,0.6666666666666666
Age,25295501,1.0,1.0
Age,25926582,1.0,1.0
Age,26228535,1.0,1.0
Age,26309459,1.0,1.0
Age,26327988,1.0,1.0
Age,26361640,1.0,1.0
Age,26444414,1.0,1.0
Age,26474553,1.0,1.0
Age,26530965,1.0,1.0
Age,26584481,1.0,1.0
Age,26656340,0.6666666666666666,0.6666666666666666
Age,26664317,0.0,0.0
Age,26675562,1.0,1.0
Age,26683938,1.0,1.0
Age,27004009,1.0,1.0
Age,27196481,1.0,1.0
Age,27683825,0.4,1.0
Age,27793101,1.0,1.0
Age,27842595,1.0,1.0
Age,27846860,1.0,1.0
Age,27906105,1.0,1.0
Age,28120581,1.0,1.0
Age,28151882,1.0,1.0
Age,28190872,1.0,1.0
Age,28202869,1.0,1.0
Age,28216610,1.0,1.0
Age,28239141,1.0,1.0
Age,28250406,1.0,1.0
Age,28296775,1.0,1.0
Age,28321073,1.0,1.0
Age,28353556,1.0,1.0
Age,28353604,1.0,1.0
Age,28422883,1.0,1.0
Area,19860007,0.0,0.0
Area,21067996,0.0,0.0
Area,25210224,1.0,0.5
Area,25295501,1.0,1.0
Area,26444414,0.0,0.0
Area,27004009,0.5,1.0
Area,27906105,1.0,0.0
Area,28120581,0.4,0.0
Area,28296775,0.0,0.0
Biological_attribute,25210224,0.0,0.0
Biological_attribute,25246819,0.0,0.0
Biological_structure,15939911,0.6363636363636364,0.9285714285714286
Biological_structure,18258107,0.25,1.0
Biological_structure,18416479,0.28571428571428575,1.0
Biological_structure,19009665,0.33333333333333337,0.7647058823529411
Biological_structure,19860007,0.4242424242424242,0.45714285714285713
Biological_structure,21067996,0.6250000000000001,0.9333333333333333
Biological_structure,21527041,0.5294117647058824,0.8333333333333333
Biological_structure,21672201,0.4444444444444444,0.8108108108108109
Biological_structure,22515939,0.25,0.6956521739130435
Biological_structure,22665582,0.16666666666666666,0.6666666666666666
Biological_structure,22791498,0.26086956521739135,0.5333333333333333
Biological_structure,23312850,0.43478260869565216,0.967741935483871
Biological_structure,23897372,0.22857142857142856,0.85
Biological_structure,24518095,0.25,0.9090909090909091
Biological_structure,24898994,0.631578947368421,0.8421052631578948
Biological_structure,25210224,0.0,0.8431372549019608
Biological_structure,25246819,0.16666666666666669,0.9056603773584906
Biological_structure,25295501,0.2222222222222222,1.0
Biological_structure,25926582,0.0,0.6666666666666666
Biological_structure,26228535,0.3157894736842105,0.608695652173913
Biological_structure,26309459,0.3703703703703703,0.6875
Biological_structure,26327988,0.13333333333333333,0.8181818181818181
Biological_structure,26361640,0.1818181818181818,0.923076923076923
Biological_structure,26444414,0.5454545454545454,0.6153846153846153
Biological_structure,26474553,0.0,0.0
Biological_structure,26530965,0.3888888888888889,0.8947368421052632
Biological_structure,26584481,0.3448275862068966,0.7272727272727272
Biological_structure,26656340,0.11764705882352941,0.8
Biological_structure,26664317,0.3888888888888889,0.8636363636363636
Biological_structure,26675562,0.09523809523809525,0.761904761904762
Biological_structure,26683938,0.45454545454545453,0.7200000000000001
Biological_structure,27004009,0.23529411764705882,0.9500000000000001
Biological_structure,27196481,0.4,0.8799999999999999
Biological_structure,27683825,0.34782608695652173,0.8
Biological_structure,27793101,0.11538461538461539,0.9722222222222222
Biological_structure,27842595,0.4210526315789474,0.7777777777777777
Biological_structure,27846860,0.16666666666666666,0.8571428571428571
Biological_structure,27906105,0.23076923076923075,0.5925925925925927
Biological_structure,28120581,0.1290322580645161,0.7346938775510203
Biological_structure,28151882,0.13043478260869565,0.5245901639344263
Biological_structure,28190872,0.21052631578947367,0.9411764705882353
Biological_structure,28202869,0.0625,0.7499999999999999
Biological_structure,28216610,0.5,0.7441860465116279
Biological_structure,28239141,0.16666666666666669,0.6666666666666666
Biological_structure,28250406,0.5999999999999999,0.8484848484848485
Biological_structure,28296775,0.4615384615384615,0.823529411764706
Biological_structure,28321073,0.5116279069767442,0.909090909090909
Biological_structure,28353556,0.6,0.923076923076923
Biological_structure,28353604,0.14035087719298245,0.7692307692307692
Biological_structure,28422883,0.1395348837209302,0.875
Clinical_event,15939911,0.8,0.8
Clinical_event,18258107,0.6666666666666666,0.5714285714285715
Clinical_event,18416479,0.5,0.7692307692307692
Clinical_event,19009665,1.0,1.0
Clinical_event,19860007,0.6666666666666666,0.6666666666666666
Clinical_event,21067996,1.0,1.0
Clinical_event,21527041,0.6,1.0
Clinical_event,21672201,0.7368421052631577,0.75
Clinical_event,22515939,0.8,1.0
Clinical_event,22665582,0.625,1.0
Clinical_event,22791498,0.8,1.0
Clinical_event,23897372,0.5,0.6666666666666666
Clinical_event,24518095,0.6666666666666666,0.5
Clinical_event,24898994,0.0,0.0
Clinical_event,25210224,0.33333333333333337,1.0
Clinical_event,25246819,0.25,0.33333333333333337
Clinical_event,25295501,0.6666666666666666,0.6666666666666666
Clinical_event,25926582,0.8,1.0
Clinical_event,26228535,0.4,1.0
Clinical_event,26309459,0.8571428571428571,0.8
Clinical_event,26327988,0.5,1.0
Clinical_event,26361640,0.6666666666666666,1.0
Clinical_event,26444414,0.6666666666666666,1.0
Clinical_event,26474553,0.0,0.0
Clinical_event,26530965,0.8571428571428571,0.6666666666666666
Clinical_event,26584481,0.5454545454545454,0.8571428571428571
Clinical_event,26656340,0.6666666666666666,1.0
Clinical_event,26664317,0.8,0.8333333333333334
Clinical_event,26675562,0.6666666666666666,0.75
