model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_Disease_disorder,F1_Sign_symptom,F1_Diagnostic_procedure,F1_Therapeutic_procedure,F1_Medication,F1_Biological_structure,F1_Lab_value,F1_Detailed_description,F1_Clinical_event,F1_Severity,F1_Date,F1_Duration,F1_Dosage,F1_Administration,F1_History,F1_Nonbiological_location,F1_Activity,F1_Age,F1_Sex,F1_Family_history,F1_Frequency,F1_Shape,F1_Personal_background,F1_Distance,F1_Time,F1_Subject,F1_Color,F1_Quantitative_concept,F1_Texture,F1_Qualitative_concept,F1_Area,F1_Outcome,F1_Volume,F1_Other_event,F1_Other_entity,F1_Occupation,F1_Biological_attribute,F1_Weight,F1_Height,F1_Mass,F1_Coreference
urchade/gliner_large-v2.1,0.3,1149,0.5468,0.6144,0.5786,3892,3226,2443,0.5863,0.5907,0.7286,0.5124,0.7446,0.6949,0.6151,0.3687,0.7378,0.5461,0.4236,0.3957,0.593,0.3878,0.0806,0.7312,0.3836,0.6974,0.5503,0.0714,0.3297,0.3571,0.619,0.386,0.1224,0.0,0.6207,0.2034,0.0909,0.0,0.1053,0.3478,0.4615,0.0,0.0,0.25,0.0,0.2222,0.2857,0.0,0.0
urchade/gliner_large-v2.1,0.4,1149,0.579,0.5847,0.5818,3704,2693,2631,0.5788,0.6013,0.7381,0.5104,0.7505,0.703,0.5955,0.3315,0.7447,0.5641,0.381,0.3473,0.4706,0.3908,0.0893,0.7273,0.3934,0.702,0.6012,0.08,0.3571,0.3333,0.7222,0.4167,0.1429,0.0,0.6923,0.186,0.1,0.0,0.1111,0.3684,0.4444,0.0,0.0,0.2667,0.0,0.0,0.4,0.0,0.0
urchade/gliner_large-v2.1,0.5,1149,0.6131,0.5531,0.5816,3504,2211,2831,0.5767,0.6027,0.7359,0.5065,0.7576,0.7037,0.5756,0.2892,0.7267,0.5758,0.3485,0.3586,0.3651,0.4211,0.098,0.7101,0.4138,0.726,0.6753,0.0952,0.3733,0.2609,0.8667,0.2564,0.125,0.0,0.6923,0.1875,0.1,0.0,0.0,0.4516,0.2857,0.0,0.0,0.3077,0.0,0.0,0.5,0.0,0.0
urchade/gliner_large-v2.1,0.6,1149,0.6542,0.5124,0.5747,3246,1716,3089,0.5767,0.5959,0.7282,0.5,0.7574,0.7051,0.5261,0.2449,0.7179,0.6104,0.3083,0.336,0.2727,0.4062,0.1075,0.7081,0.3529,0.7172,0.7536,0.1,0.4058,0.3333,0.963,0.1714,0.1667,0.0,0.6923,0.1935,0.1111,0.0,0.0,0.4,0.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0
