model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_Disease_disorder,F1_Sign_symptom,F1_Diagnostic_procedure,F1_Therapeutic_procedure,F1_Medication,F1_Biological_structure,F1_Lab_value,F1_Detailed_description,F1_Clinical_event,F1_Severity,F1_Date,F1_Duration,F1_Dosage,F1_Administration,F1_History,F1_Nonbiological_location,F1_Activity,F1_Age,F1_Sex,F1_Family_history,F1_Frequency,F1_Shape,F1_Personal_background,F1_Distance,F1_Time,F1_Subject,F1_Color,F1_Quantitative_concept,F1_Texture,F1_Qualitative_concept,F1_Area,F1_Outcome,F1_Volume,F1_Other_event,F1_Other_entity,F1_Occupation,F1_Biological_attribute,F1_Weight,F1_Height,F1_Mass,F1_Coreference
almanach/camembert-bio-gliner,0.3,1164,0.6122,0.4525,0.5203,2993,1896,3622,0.4556,0.5646,0.675,0.3033,0.7089,0.5861,0.626,0.0,0.5467,0.4358,0.5139,0.4398,0.3478,0.1081,0.0,0.6667,0.0,0.8571,0.6434,0.0,0.0,0.0,0.0,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almanach/camembert-bio-gliner,0.4,1164,0.669,0.3935,0.4955,2603,1288,4012,0.4339,0.5222,0.6664,0.231,0.7217,0.547,0.5866,0.0,0.5791,0.3947,0.511,0.398,0.0267,0.0625,0.0,0.5987,0.0,0.8571,0.6815,0.0,0.0,0.0,0.0,0.2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almanach/camembert-bio-gliner,0.5,1164,0.7321,0.3345,0.4592,2213,810,4402,0.4125,0.475,0.6323,0.0968,0.716,0.5092,0.5321,0.0,0.5524,0.3387,0.5065,0.3669,0.0,0.0625,0.0,0.5113,0.0,0.8649,0.7188,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almanach/camembert-bio-gliner,0.6,1164,0.7753,0.2682,0.3985,1774,514,4841,0.3613,0.386,0.572,0.0347,0.6812,0.4607,0.4208,0.0,0.491,0.2617,0.5185,0.2556,0.0,0.0,0.0,0.243,0.0,0.9057,0.7603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
