model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_DISO,F1_PROC,F1_ANAT,F1_CHEM,F1_DEVI,F1_LIVB,F1_PHYS,F1_PHEN,F1_GEOG,F1_OBJC
almanach/camembert-bio-gliner,0.3,417,0.6198,0.5629,0.59,882,541,685,0.5803,0.5864,0.6944,0.654,0.0,0.6563,0.3688,0.0,0.6429,0.2424
almanach/camembert-bio-gliner,0.4,417,0.6615,0.5475,0.5992,858,439,709,0.5829,0.5949,0.7046,0.6629,0.0,0.6645,0.3385,0.0,0.6538,0.0952
almanach/camembert-bio-gliner,0.5,417,0.697,0.5329,0.604,835,363,732,0.5814,0.6115,0.694,0.6667,0.0,0.6667,0.3214,0.0,0.6538,0.0
almanach/camembert-bio-gliner,0.6,417,0.7315,0.5182,0.6066,812,298,755,0.5742,0.623,0.6989,0.6727,0.0,0.6734,0.2857,0.0,0.6538,0.0
