model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_DISO,F1_PROC,F1_ANAT,F1_CHEM,F1_DEVI,F1_LIVB,F1_PHYS,F1_PHEN,F1_GEOG,F1_OBJC
almanach/camembert-bio-gliner,0.3,833,0.6077,0.5875,0.5974,1820,1175,1278,0.5724,0.6101,0.685,0.6667,0.0488,0.7238,0.2982,0.1667,0.6269,0.2222
almanach/camembert-bio-gliner,0.4,833,0.6438,0.5746,0.6072,1780,985,1318,0.5773,0.6206,0.6936,0.6762,0.0,0.7293,0.3082,0.1795,0.6299,0.0833
almanach/camembert-bio-gliner,0.5,833,0.6812,0.5594,0.6143,1733,811,1365,0.5745,0.6275,0.6997,0.6902,0.0,0.7333,0.311,0.1875,0.629,0.0976
almanach/camembert-bio-gliner,0.6,833,0.708,0.5416,0.6138,1678,692,1420,0.5672,0.6336,0.6985,0.7003,0.0,0.7273,0.3028,0.0377,0.6393,0.0
