model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_DISO,F1_PROC,F1_ANAT,F1_CHEM,F1_DEVI,F1_LIVB,F1_PHYS,F1_PHEN,F1_GEOG,F1_OBJC
almanach/camembert-bio-gliner,0.3,833,0.5992,0.5994,0.5993,1857,1242,1241,0.5804,0.621,0.707,0.6981,0.3038,0.7434,0.268,0.1571,0.6466,0.2537
almanach/camembert-bio-gliner,0.4,833,0.6202,0.5939,0.6068,1840,1127,1258,0.5805,0.6266,0.7037,0.7022,0.2933,0.7492,0.2713,0.1818,0.6412,0.2931
almanach/camembert-bio-gliner,0.5,833,0.6468,0.5881,0.6161,1822,995,1276,0.5825,0.6335,0.7061,0.7076,0.2857,0.7476,0.289,0.1628,0.6614,0.3371
almanach/camembert-bio-gliner,0.6,833,0.6757,0.5742,0.6208,1779,854,1319,0.5768,0.6335,0.7045,0.7145,0.2712,0.7508,0.3101,0.1515,0.6829,0.338
