model,threshold,n_docs,P,R,F1,TP,FP,FN,F1_DISO,F1_PROC,F1_ANAT,F1_CHEM,F1_DEVI,F1_LIVB,F1_PHYS,F1_PHEN,F1_GEOG,F1_OBJC
almanach/camembert-bio-gliner,0.3,419,0.4784,0.5911,0.5288,652,711,451,0.5589,0.5213,0.5366,0.6575,0.0,0.6592,0.1882,0.1818,0.6538,0.2069
almanach/camembert-bio-gliner,0.4,419,0.5163,0.5757,0.5444,635,595,468,0.5652,0.5327,0.5382,0.6762,0.0,0.6797,0.2013,0.2083,0.6667,0.125
almanach/camembert-bio-gliner,0.5,419,0.5548,0.5503,0.5526,607,487,496,0.5668,0.5408,0.5525,0.6912,0.0,0.6667,0.2047,0.1818,0.7083,0.0
almanach/camembert-bio-gliner,0.6,419,0.5933,0.5277,0.5585,582,399,521,0.5681,0.5508,0.5425,0.7019,0.0,0.6639,0.2037,0.125,0.7111,0.0
