doc_id,begin,end,Rules,TBM,LLM
14371787,62,72,0,0,0
18198812,70,81,1,0,0
3482865,16,24,0,0,0
4484300,19,43,1,0,0
4706984,11,21,0,0,0
5150758,57,65,1,0,0
5757903,83,90,1,0,1
5859532,70,75,1,0,0
6013712,37,48,0,0,0
6570457,12,20,1,0,0
7455612,39,54,0,0,0
938690,24,36,0,0,0
9577880,0,15,0,0,0
9835868,0,30,0,0,0
9835868,34,42,0,0,1
