doc_id,begin,end,Rules,TBM,LLM
15939911,554,571,0,0,0
15939911,633,650,0,1,1
15939911,734,744,0,0,0
15939911,1052,1072,0,1,1
15939911,1528,1555,0,0,0
15939911,1564,1574,0,0,0
18258107,1130,1150,0,1,1
18416479,164,182,0,1,1
18416479,498,509,0,1,1
18416479,559,562,0,1,1
18416479,564,579,0,0,0
18416479,1172,1191,0,1,0
18416479,1707,1710,0,1,1
18416479,1712,1741,0,1,1
18416479,1748,1751,0,1,1
18416479,2950,2979,0,0,0
19009665,195,206,1,0,0
19009665,503,506,1,1,1
19009665,530,539,1,1,1
19860007,59,65,1,0,0
19860007,715,729,1,1,0
19860007,2017,2032,0,1,1
19860007,2079,2093,1,1,1
19860007,2151,2165,1,1,0
21067996,123,147,0,1,0
21067996,1042,1066,0,1,1
21527041,44,48,0,0,1
21527041,1967,1971,0,1,1
21672201,85,109,1,1,1
21672201,255,277,0,0,0
21672201,291,306,0,1,1
21672201,840,853,1,1,0
21672201,960,971,0,0,0
21672201,1561,1581,0,1,0
21672201,1583,1586,0,1,0
21672201,1589,1609,0,1,0
21672201,1611,1614,0,1,0
21672201,1685,1700,0,1,1
21672201,3525,3545,0,1,1
21672201,3549,3569,0,1,1
22515939,85,94,1,1,0
22515939,175,179,0,1,1
22515939,1159,1179,0,1,1
22515939,1360,1377,0,1,1
22515939,1733,1743,0,0,0
22515939,1985,1999,0,1,1
22665582,581,592,1,1,1
22665582,596,609,1,1,1
22665582,737,756,0,1,0
22665582,892,903,0,0,0
22665582,1028,1039,0,1,0
22665582,1053,1072,0,0,0
22665582,1596,1607,0,0,0
22665582,1675,1686,0,0,0
22791498,72,85,0,0,0
22791498,102,113,0,1,0
22791498,156,169,1,1,1
22791498,1153,1165,0,1,1
22791498,1210,1220,0,1,1
22791498,2040,2051,0,0,0
23312850,810,842,0,1,1
23312850,1613,1635,0,0,1
23897372,1272,1303,0,1,1
23897372,1485,1496,1,1,1
23897372,1971,1973,0,1,1
23897372,2029,2040,0,0,0
23897372,2075,2086,1,1,0
23897372,2105,2107,0,1,0
23897372,2136,2147,1,1,0
23897372,2483,2503,0,1,1
24518095,210,226,1,1,0
24518095,246,261,0,0,1
24518095,295,309,1,1,1
24518095,602,609,0,1,1
24898994,70,86,0,1,0
24898994,120,136,0,1,0
24898994,426,433,0,1,1
24898994,616,626,0,1,1
24898994,1503,1535,0,1,1
24898994,1811,1823,0,1,1
24898994,1985,1997,0,1,1
25210224,22,40,0,0,1
25210224,607,617,0,0,1
25210224,752,759,0,1,1
25210224,1246,1274,0,0,0
25210224,1256,1274,0,0,0
25210224,1768,1779,0,1,0
25210224,2008,2015,0,1,1
25210224,2017,2027,0,1,1
25210224,2060,2071,0,0,0
25210224,2124,2138,0,0,0
25210224,2388,2398,0,0,1
25210224,3162,3173,0,0,0
25210224,3239,3250,0,0,0
25210224,3298,3305,0,0,0
25246819,71,83,0,1,0
25246819,231,237,0,0,0
25246819,310,316,0,0,0
25246819,350,363,0,0,0
25246819,608,615,0,0,0
25246819,662,674,0,1,1
25246819,676,691,0,1,1
25246819,695,722,0,1,0
25246819,724,727,0,1,0
25246819,739,751,0,1,1
25246819,824,828,0,0,0
25246819,1076,1096,0,1,1
25246819,1121,1139,0,1,1
25246819,1299,1303,0,0,0
25246819,1425,1428,0,1,1
25246819,1566,1569,0,0,1
25246819,1671,1686,0,1,1
25246819,1850,1854,0,0,0
25246819,1982,2006,0,1,1
25246819,2008,2012,0,1,0
25246819,2059,2071,0,1,1
25246819,2200,2206,0,0,0
25246819,2237,2243,0,0,0
25246819,2329,2335,0,0,0
25246819,2476,2486,1,0,1
25246819,2621,2627,0,0,0
25246819,2695,2708,0,1,1
25246819,2712,2727,0,1,1
25246819,2766,2769,0,1,0
25246819,2780,2795,0,1,0
25246819,2813,2822,1,1,0
25246819,2855,2871,0,1,0
25246819,2873,2886,0,1,0
25246819,2891,2913,0,1,0
25246819,2968,2981,0,0,1
25246819,2985,3000,0,0,1
25295501,212,226,0,1,1
25295501,300,314,0,1,1
25295501,1264,1283,0,1,0
25295501,1412,1426,0,1,1
25926582,827,845,0,0,1
26228535,52,63,0,1,0
26228535,68,78,0,1,0
26228535,119,130,0,1,0
26228535,239,249,0,1,0
26228535,3093,3110,0,1,0
26309459,67,79,0,0,1
26309459,84,99,0,0,1
26309459,128,145,1,0,1
26309459,165,186,1,1,0
