entity,doc_id,F1_rules,F1_TBM
DISO,1009808,0.0,0.6666666666666666
DISO,10361460,1.0,0.0
DISO,10465002,0.4,0.0
DISO,1050806,0.0,1.0
DISO,1087947,0.6666666666666666,0.0
DISO,10928794,1.0,0.0
DISO,11640494,0.0,0.0
DISO,11759329,0.0,0.0
DISO,1178279,0.0,0.0
DISO,1178466,0.6666666666666666,1.0
DISO,11797298,0.0,0.0
DISO,11852772,0.0,0.4
DISO,11961948,0.0,0.0
DISO,12020985,0.6666666666666666,0.6666666666666666
DISO,1209055,0.0,0.75
DISO,121206,1.0,1.0
DISO,12180033,0.0,0.0
DISO,1232256,0.6666666666666666,0.0
DISO,1232880,0.6666666666666666,0.6666666666666666
DISO,12538096,0.5,0.0
DISO,12564170,0.0,0.0
DISO,12595806,1.0,1.0
DISO,12701313,0.0,0.0
DISO,12938574,0.0,0.0
DISO,12940126,0.6666666666666666,0.6666666666666666
DISO,1304696,0.8,0.0
DISO,13243954,0.0,0.0
DISO,13260903,0.0,0.0
DISO,13275784,0.0,0.0
DISO,13303518,0.0,0.0
DISO,13336869,0.6666666666666666,0.0
DISO,13361068,0.0,0.0
DISO,13390775,0.7499999999999999,0.4444444444444445
DISO,13396485,0.0,0.8
DISO,13403755,0.0,0.0
DISO,13409678,0.0,0.0
DISO,13413368,0.5,0.0
DISO,1342771,0.0,0.0
DISO,13453076,0.5,0.0
DISO,13454944,0.6666666666666666,0.0
DISO,13469712,0.0,0.0
DISO,13474218,0.0,0.0
DISO,13498923,1.0,0.0
DISO,13515790,0.0,1.0
DISO,135621,0.0,0.0
DISO,13577746,0.5714285714285715,0.0
DISO,13586258,0.0,1.0
DISO,13605952,0.6666666666666666,0.0
DISO,13614118,0.0,0.0
DISO,13623687,0.0,0.0
DISO,13629299,0.0,0.5
DISO,13634725,0.0,1.0
DISO,13638773,0.6666666666666666,0.6666666666666666
DISO,13665657,0.0,0.0
DISO,14095574,1.0,0.0
DISO,14100240,0.0,0.0
DISO,14104118,0.0,0.0
DISO,14127348,0.0,0.0
DISO,14136390,0.6666666666666666,0.6666666666666666
DISO,14146337,0.0,0.0
DISO,14187071,0.5,0.4
DISO,14197635,0.0,1.0
DISO,14222488,0.0,0.0
DISO,14238353,0.6666666666666666,0.6666666666666666
DISO,14242834,1.0,0.0
DISO,14245748,0.0,0.0
DISO,14254872,0.0,1.0
DISO,14262508,0.0,0.0
DISO,14266189,0.5,0.0
DISO,14306517,0.6666666666666666,0.0
DISO,14323055,0.0,0.0
DISO,14331398,0.0,1.0
DISO,14362095,0.0,1.0
DISO,14371787,0.4,0.6666666666666666
DISO,14395991,0.6666666666666666,0.0
DISO,146557,0.0,0.0
DISO,14706904,0.6666666666666666,0.0
DISO,14714347,0.6666666666666666,0.0
DISO,15026719,0.0,0.0
DISO,15067898,0.0,0.0
DISO,1532088,0.0,1.0
DISO,15382465,0.0,0.0
DISO,15801395,0.0,0.0
DISO,15825995,0.0,1.0
DISO,15861872,0.6666666666666666,0.6666666666666666
DISO,15893243,0.6666666666666666,0.6666666666666666
DISO,15899620,0.5,0.0
DISO,15988371,0.0,0.0
DISO,16164069,0.0,0.8
DISO,16230941,0.0,0.0
DISO,16562603,0.6666666666666666,0.0
DISO,16838722,1.0,1.0
DISO,17086126,0.6666666666666666,0.8571428571428571
DISO,17287674,0.6666666666666666,0.8
DISO,17349380,1.0,0.0
DISO,17489325,0.5,0.0
DISO,17508667,0.0,0.6666666666666666
DISO,1767226,0.0,0.0
DISO,1792264,1.0,0.0
DISO,17925667,0.0,1.0
DISO,18198812,0.0,0.0
DISO,18380305,0.0,0.0
DISO,18514154,0.6666666666666666,0.6666666666666666
DISO,1859110,0.6666666666666666,0.0
DISO,1859113,1.0,0.0
DISO,18842434,0.6666666666666666,0.5
DISO,20067037,0.0,0.6666666666666666
DISO,20117912,0.0,0.0
DISO,20123513,0.0,1.0
DISO,20180353,0.0,0.6666666666666666
DISO,20222307,1.0,0.0
DISO,20225558,0.5,0.6666666666666666
DISO,2053749,0.6666666666666666,0.0
DISO,20598617,1.0,0.0
DISO,2081839,0.0,1.0
DISO,20873436,0.0,0.0
DISO,2129996,0.0,0.0
DISO,214252,1.0,0.0
DISO,218485,1.0,0.0
DISO,2206170,0.6666666666666666,0.6666666666666666
DISO,23046,0.0,0.0
DISO,2305185,1.0,0.0
DISO,2461179,0.4,0.6666666666666666
DISO,2551209,0.4,0.6666666666666666
DISO,2596794,0.5,0.5
DISO,2656839,1.0,0.0
DISO,2779713,0.0,0.0
DISO,289952,0.0,1.0
DISO,2954139,0.0,0.6666666666666666
DISO,2965354,0.5,0.0
DISO,2974146,0.0,0.0
DISO,3012204,0.0,0.4
DISO,304211,0.0,0.0
DISO,3048195,0.6666666666666666,0.0
DISO,3063515,0.4,0.0
DISO,3095777,0.6666666666666666,0.0
